-e Time,			total,	used,	free,	cache
-e 14-12-17 08:47:45,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:47:48,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:47:52,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:47:55,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:47:59,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:02,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:06,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:09,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:13,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:16,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:20,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:24,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:48:27,	 0k,	 0k,	 0k,	 1577412k
-e 14-12-17 08:48:31,	 0k,	 0k,	 0k,	 1577412k
-e 14-12-17 08:48:34,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:38,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:48:41,	 0k,	 0k,	 0k,	 1577420k
-e 14-12-17 08:48:45,	 0k,	 0k,	 0k,	 1577412k
-e 14-12-17 08:48:48,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:48:52,	 0k,	 0k,	 0k,	 1577432k
-e 14-12-17 08:48:55,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:48:59,	 0k,	 0k,	 0k,	 1577416k
-e 14-12-17 08:49:03,	 0k,	 0k,	 0k,	 1577432k
-e 14-12-17 08:49:06,	 0k,	 0k,	 0k,	 1577432k
-e 14-12-17 08:49:10,	 0k,	 0k,	 0k,	 1577432k
-e 14-12-17 08:49:13,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:49:17,	 0k,	 0k,	 0k,	 1577432k
-e 14-12-17 08:49:20,	 0k,	 0k,	 0k,	 1577424k
-e 14-12-17 08:49:24,	 0k,	 0k,	 0k,	 1577432k
-e 14-12-17 08:49:27,	 0k,	 0k,	 0k,	 1577436k
-e 14-12-17 08:49:31,	 0k,	 0k,	 0k,	 1577428k
-e 14-12-17 08:49:34,	 0k,	 0k,	 0k,	 1577436k
-e 14-12-17 08:49:38,	 0k,	 0k,	 0k,	 1577436k
-e 14-12-17 08:49:42,	 0k,	 0k,	 0k,	 1577436k
-e 14-12-17 08:49:45,	 0k,	 0k,	 0k,	 1577436k
-e 14-12-17 08:49:49,	 0k,	 0k,	 0k,	 1577436k
-e 14-12-17 08:49:52,	 0k,	 0k,	 0k,	 1577436k
-e 14-12-17 08:49:56,	 0k,	 0k,	 0k,	 1577440k
-e 14-12-17 08:49:59,	 0k,	 0k,	 0k,	 1577444k
